Sentence,Aspect Term,polarity
Really like the textured surface which shows no fingerprints.,surface,positive
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,positive
What I'd like is for the laptop to run well without having to purchase additional memory.,run,neutral
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",imail,positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system,positive
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,negative
"It is easy to use, good quality and good price.",use,positive
The touch pad is among the best.,touch pad,positive
Battery is not upgradable to a longer life battery.,battery,negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative
"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,neutral
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",iphoto,positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.,i3 processor,positive
"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",mousepad,neutral
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,positive
"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply,neutral
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,neutral
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,neutral
The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,programs,positive
"Would like more trendy, high tech features.",features,negative
The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,Touchpad,negative
The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.,fan,negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,negative
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,positive
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative
